riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6714710-?	1.00E-06	-	NR	1.48999	-	[1.26062-1.7611]	ZAP70	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1628812:23:00	26993346	Schott JM
rs4965006-?	4.00E-06	-	NR	1.59605	-	[1.29704-1.96399]	PUS1	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	2198928:28:00	26993346	Schott JM
rs2777802-?	6.00E-06	-	NR	1.4778666	-	[NR]	ABCA1	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1746793:16:00	26993346	Schott JM
rs11637445-?	6.00E-06	-	NR	1.4859304	-	[NR]	MAP2K5	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1128336:08:00	26993346	Schott JM
rs1014897-?	6.00E-06	-	NR	1.4817307	-	[NR]	ANGPT4	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	15266:54:00	26993346	Schott JM
rs8038734-?	6.00E-06	-	NR	2.1375377	-	[NR]	ARIH1	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1208666:01:00	26993346	Schott JM
rs4997950-?	7.00E-06	-	NR	1.6716651	-	[NR]	LINC01098,LINC01099	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	2963662:14:00	26993346	Schott JM
rs10061074-?	7.00E-06	-	NR	2.73556	-	[1.72367-4.34148]	HIGD1AP3,MSX2	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	2911767:31:00	26993346	Schott JM
rs17125439-?	8.00E-06	-	NR	1.51359	-	[1.2572-1.82226]	BCL10-AS1	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1421712:36:00	26993346	Schott JM
rs433852-?	8.00E-06	-	NR	1.6849171	-	[NR]	FAM83E	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	810249:47:00	26993346	Schott JM
rs7805053-?	8.00E-06	-	NR	1.5306224	-	[NR]	U3,PER3P1	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	161408:26:00	26993346	Schott JM
rs1340425-?	8.00E-06	-	NR	1.63103	-	[1.28704-2.06695]	LRRIQ3,RNU4ATAC8P	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1232003:45:00	26993346	Schott JM
rs12134133-?	9.00E-06	-	NR	1.46044	-	[1.22756-1.73751]	LINC02942	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	3454742:40:00	26993346	Schott JM
rs10071932-?	9.00E-06	-	NR	1.4506525	-	[NR]	RMEL3,GPBP1	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	955972:24:00	26993346	Schott JM
rs2525776-?	1.00E-08	-	NR	3.3	-	[2.1-5.1]	SEMA3C,EIF4EP4	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1354545:23:00	26993346	Schott JM
rs76854344-?	8.00E-10	-	NR	1.9	-	[1.5-2.3]	RN7SKP102,CNTNAP5-DT	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	2066594:59:00	26993346	Schott JM
rs72907046-?	1.00E-09	-	NR	3.2	-	[2.1-4.9]	TENT5A,RPSAP72	Posterior cortical atrophy and Alzheimer's disease	posterior cortical atrophy,Alzheimer disease	-	GCST003452	1356975:26:00	26993346	Schott JM
rs2075650-?	5.00E-07	-	NR	1.5	-	[NR]	TOMM40	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST006120	748225:02:00	29107063	Yashin AI
rs11130222-A	1.00E-23	-	0.5765	-	113.87008 z score increase	-	RN7SL217P,CAMKV	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	831063:27:00	34743297	Kulminski AM
rs1606979-A	2.00E-07	-	0.05784	-	36.952526 z score increase	-	KNOP1P3,CRYGGP	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	860256:33:00	34743297	Kulminski AM
rs10446472-A	1.00E-06	-	0.1623	-	33.14677 z score increase	-	DOCK3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	854278:24:00	34743297	Kulminski AM
rs268134-A	3.00E-08	-	0.2351	-	40.967674 z score increase	-	SPRED2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1089689:09:00	34743297	Kulminski AM
rs4974424-A	1.00E-07	-	0.8265	-	38.127964 z score increase	-	LINC01471,LINC02016	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2123834:17:00	34743297	Kulminski AM
rs2241809-T	4.00E-08	-	0.4757	-	40.080097 z score increase	-	CHST10	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1673300:21:00	34743297	Kulminski AM
rs4663105-A	6.00E-25	-	0.5672	-	119.86407 z score increase	-	BIN1,NIFKP9	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2118899:31:00	34743297	Kulminski AM
rs77609760-A	1.00E-07	-	0.91231	-	37.841232 z score increase	-	LRP1B	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2360025:01:00	34743297	Kulminski AM
rs17824247-T	1.00E-11	-	0.5802	-	56.87535 z score increase	-	ARHGAP15	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2389918:10:00	34743297	Kulminski AM
rs10006235-T	4.00E-07	-	0.2873	-	35.140823 z score increase	-	LINC02466	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2162486:33:00	34743297	Kulminski AM
rs16845580-T	5.00E-10	-	0.6306	-	49.25983 z score increase	-	RN7SL423P,TANK-AS1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2684408:13:00	34743297	Kulminski AM
rs11726992-T	3.00E-07	-	0.6455	-	35.983162 z score increase	-	FNIP2,PPID	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2645787:36:00	34743297	Kulminski AM
rs10172113-T	2.00E-07	-	0.2463	-	37.22933 z score increase	-	MIR5702,NYAP2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3762563:07:00	34743297	Kulminski AM
rs11687170-T	1.00E-08	-	0.8284	-	42.972874 z score increase	-	AGAP1,Y_RNA	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3935827:00:00	34743297	Kulminski AM
rs61160187-A	2.00E-12	-	0.6194	-	60.89872 z score increase	-	ELOVL7	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1013600:52:00	34743297	Kulminski AM
rs17785248-A	2.00E-06	-	0.7463	-	32.003765 z score increase	-	SMARCC1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	793860:05:00	34743297	Kulminski AM
rs10939881-A	6.00E-12	-	0.431	-	58.5755 z score increase	-	NDUFAF2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1018124:06:00	34743297	Kulminski AM
rs73078304-A	3.00E-08	-	0.875	-	41.0413 z score increase	-	PFKFB4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	809035:56:00	34743297	Kulminski AM
rs10223052-A	2.00E-11	-	0.3657	-	55.586967 z score increase	-	ZSWIM6	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1025080:09:00	34743297	Kulminski AM
rs73082337-C	4.00E-09	-	0.8862	-	45.165413 z score increase	-	ARIH2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	816205:17:00	34743297	Kulminski AM
rs34759087-T	1.00E-09	-	0.1119	-	47.77462 z score increase	-	LAMB2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	818750:31:00	34743297	Kulminski AM
rs148734725-A	5.00E-22	-	0.3078	-	106.19772 z score increase	-	RHOA	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	822824:15:00	34743297	Kulminski AM
rs3850651-T	2.00E-11	-	0.5653	-	56.06904 z score increase	-	MEF2C-AS1,MEF2C	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1481426:32:00	34743297	Kulminski AM
rs152602-C	7.00E-07	-	0.3358	-	34.101864 z score increase	-	EFNA5	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1790678:37:00	34743297	Kulminski AM
rs12514965-T	4.00E-09	-	0.7388	-	44.89993 z score increase	-	LINC01957,TRIM36	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1910891:36:00	34743297	Kulminski AM
rs17504614-T	4.00E-08	-	0.8172	-	40.308456 z score increase	-	NRXN1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	847557:43:00	34743297	Kulminski AM
rs1138536-T	2.00E-19	-	0.4366	-	94.14867 z score increase	-	RBM5	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	835268:23:00	34743297	Kulminski AM
rs7599488-T	1.00E-11	-	0.4254	-	56.879543 z score increase	-	BCL11A	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1008188:52:00	34743297	Kulminski AM
rs62263923-A	3.00E-08	-	0.6437	-	41.11693 z score increase	-	CADM2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1427097:00:00	34743297	Kulminski AM
rs12987662-A	2.00E-17	-	0.3787	-	84.54849 z score increase	-	LINC01104,AFF3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1670086:46:00	34743297	Kulminski AM
rs73079609-A	2.00E-06	-	0.1679	-	32.32068 z score increase	-	FGFR3,TACC3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	29142:03:00	34743297	Kulminski AM
rs3095075-A	6.00E-07	-	0.5504	-	34.331844 z score increase	-	MSANTD1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	54194:56:00	34743297	Kulminski AM
rs10012882-T	2.00E-06	-	0.97761	-	32.01643 z score increase	-	EPHA5	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1089617:51:00	34743297	Kulminski AM
rs6839705-A	4.00E-10	-	0.3601	-	49.73505 z score increase	-	TET2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1753730:18:00	34743297	Kulminski AM
rs13421974-T	2.00E-07	-	0.5224	-	37.25048 z score increase	-	RNA5SP107,KCNJ3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2577207:57:00	34743297	Kulminski AM
rs4863692-T	6.00E-11	-	0.334	-	53.57122 z score increase	-	MAML3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2330720:10:00	34743297	Kulminski AM
rs2268894-T	1.00E-08	-	0.528	-	42.664425 z score increase	-	DPP4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2699995:58:00	34743297	Kulminski AM
rs4493682-C	4.00E-07	-	0.2034	-	35.550488 z score increase	-	MRPS30,HCN1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	753137:02:00	34743297	Kulminski AM
rs861347-A	6.00E-08	-	0.4646	-	39.491398 z score increase	-	PLK2,PGAM1P1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	971741:57:00	34743297	Kulminski AM
rs1603981-A	1.00E-06	-	0.1828	-	33.11184 z score increase	-	RARB	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	419060:45:00	34743297	Kulminski AM
rs6449512-A	7.00E-12	-	0.5802	-	58.25171 z score increase	-	ERCC8	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1015645:15:00	34743297	Kulminski AM
rs1665982-A	3.00E-07	-	0.2705	-	36.200638 z score increase	-	MAP4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	797729:29:00	34743297	Kulminski AM
rs113474297-T	1.00E-09	-	0.1231	-	47.16901 z score increase	-	LINC02057	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1020990:07:00	34743297	Kulminski AM
rs3172494-T	2.00E-11	-	0.1157	-	56.44458 z score increase	-	IP6K2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	811570:34:00	34743297	Kulminski AM
rs10071982-A	1.00E-06	-	0.4254	-	32.653965 z score increase	-	ISCA1P1,HTR1A	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1056795:24:00	34743297	Kulminski AM
rs7737179-A	2.00E-08	-	0.2761	-	41.978577 z score increase	-	LINC00461,TMEM161B-DT	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1475000:08:00	34743297	Kulminski AM
rs6882046-A	3.00E-14	-	0.6866	-	69.48457 z score increase	-	LINC00461	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1477889:06:00	34743297	Kulminski AM
rs7630869-T	3.00E-21	-	0.3004	-	102.75902 z score increase	-	DAG1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	824754:50:00	34743297	Kulminski AM
rs7614725-A	2.00E-20	-	0.3041	-	98.88907 z score increase	-	BSN	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	826885:42:00	34743297	Kulminski AM
rs3811695-T	2.00E-15	-	0.5019	-	74.746284 z score increase	-	IP6K1,GMPPB	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	828739:20:00	34743297	Kulminski AM
rs9527702-A	2.00E-15	-	0.7631	-	75.57651 z score increase	-	RNA5SP30,PCDH17	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	963517:18:00	34743297	Kulminski AM
rs9556958-T	5.00E-09	-	0.5019	-	44.51193 z score increase	-	STK24,FARP1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1640809:32:00	34743297	Kulminski AM
rs34344888-A	3.00E-09	-	0.3974	-	45.858845 z score increase	-	RBM23	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	381986:56:00	34743297	Kulminski AM
rs10483349-A	1.00E-08	-	0.8302	-	42.50047 z score increase	-	LINC02326,RNU11-5P	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	486018:10:00	34743297	Kulminski AM
rs7146434-A	4.00E-07	-	0.5653	-	35.309937 z score increase	-	ESR2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1071010:25:00	34743297	Kulminski AM
rs28730549-A	1.00E-06	-	0.6679	-	33.08993 z score increase	-	ZBTB25	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1074940:17:00	34743297	Kulminski AM
rs12590654-A	6.00E-09	-	0.3451	-	44.299038 z score increase	-	SLC24A4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1541222:31:00	34743297	Kulminski AM
rs1378214-T	4.00E-10	-	0.3825	-	49.78272 z score increase	-	SEMA6D	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	788128:27:00	34743297	Kulminski AM
rs3131610-A	4.00E-06	-	0.25	-	30.223555 z score increase	-	USP50,USP8	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	841813:18:00	34743297	Kulminski AM
rs113294283-A	3.00E-06	-	0.09515	-	30.938192 z score increase	-	DAPK2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1067577:30:00	34743297	Kulminski AM
rs147704873-A	3.00E-07	-	0.1866	-	36.158676 z score increase	-	IGDCC4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1090395:33:00	34743297	Kulminski AM
rs34571450-T	3.00E-07	-	0.8284	-	36.08134 z score increase	-	INTS14	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1093054:40:00	34743297	Kulminski AM
rs12900061-A	4.00E-09	-	0.1623	-	44.859818 z score increase	-	DENND4A	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1095296:50:00	34743297	Kulminski AM
rs4468571-A	2.00E-07	-	0.5765	-	37.22236 z score increase	-	LINGO1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1295478:10:00	34743297	Kulminski AM
rs28420834-A	3.00E-09	-	0.4291	-	45.66343 z score increase	-	EFL1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1370361:20:00	34743297	Kulminski AM
rs1035578-A	4.00E-07	-	0.569	-	35.57484 z score increase	-	SNX29	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	207307:48:00	34743297	Kulminski AM
rs8049439-T	1.00E-08	-	0.6549	-	42.41152 z score increase	-	ATXN2L	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	480452:34:00	34743297	Kulminski AM
rs143982995-T	6.00E-07	-	0.222	-	34.346798 z score increase	-	PLEKHM1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	757828:31:00	34743297	Kulminski AM
rs150180355-A	4.00E-07	-	0.2519	-	35.505646 z score increase	-	RPS26P8,LINC02210	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	760178:46:00	34743297	Kulminski AM
rs111609130-A	2.00E-07	-	0.3974	-	36.87008 z score increase	-	LINC02210-CRHR1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	763001:52:00	34743297	Kulminski AM
rs113568679-A	7.00E-09	-	0.7295	-	43.902805 z score increase	-	MAPT	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	765248:46:00	34743297	Kulminski AM
rs143364530-A	3.00E-08	-	0.278	-	40.49891 z score increase	-	KANSL1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	767601:52:00	34743297	Kulminski AM
rs199503-A	2.00E-08	-	0.2481	-	42.190483 z score increase	-	WNT3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	779763:36:00	34743297	Kulminski AM
rs4800490-A	2.00E-08	-	0.5429	-	41.433723 z score increase	-	NPC1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	392453:17:00	34743297	Kulminski AM
rs8093731-T	8.00E-07	-	0.01866	-	33.788486 z score increase	-	DSG2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	525167:55:00	34743297	Kulminski AM
rs3824874-T	5.00E-09	-	0.5951	-	44.70354 z score increase	-	MTMR2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1598743:27:00	34743297	Kulminski AM
rs111321694-T	7.00E-07	-	0.1828	-	34.211643 z score increase	-	LINC02550,RNA5SP350	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1851338:42:00	34743297	Kulminski AM
rs11218343-T	1.00E-09	-	0.95709	-	47.98181 z score increase	-	SORL1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2026092:18:00	34743297	Kulminski AM
rs2819336-T	1.00E-09	-	0.3489	-	47.191517 z score increase	-	PTPRF	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	725836:38:00	34743297	Kulminski AM
rs12410444-A	3.00E-10	-	0.7183	-	50.64692 z score increase	-	ST3GAL3-AS1,ST3GAL3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	728718:28:00	34743297	Kulminski AM
rs34305371-A	1.00E-15	-	0.08769	-	75.96627 z score increase	-	NEGR1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1204466:27:00	34743297	Kulminski AM
rs1008078-T	6.00E-11	-	0.3731	-	53.83937 z score increase	-	BARHL2,LINC02609	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1512070:34:00	34743297	Kulminski AM
rs237436-T	6.00E-08	-	0.2295	-	39.33005 z score increase	-	BCAR3	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1559554:38:00	34743297	Kulminski AM
rs2154402-T	2.00E-07	-	0.1045	-	36.760254 z score increase	-	MIR137HG	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1633500:26:00	34743297	Kulminski AM
rs2477432-A	8.00E-07	-	0.5746	-	33.81724 z score increase	-	RAP1A	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	1860711:55:00	34743297	Kulminski AM
rs12036042-T	2.00E-08	-	0.7985	-	41.288166 z score increase	-	MDM4,PIK3C2B	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3408337:26:00	34743297	Kulminski AM
rs11588857-A	2.00E-11	-	0.209	-	55.58362 z score increase	-	LRRN2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3410299:39:00	34743297	Kulminski AM
rs1752684-A	7.00E-14	-	0.2071	-	67.68868 z score increase	-	CR1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3459566:51:00	34743297	Kulminski AM
rs61848607-A	4.00E-08	-	0.06157	-	40.05577 z score increase	-	KCNH1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3518610:23:00	34743297	Kulminski AM
rs35771425-T	6.00E-09	-	0.7948	-	44.191536 z score increase	-	ARPC3P2,LINC00467	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	3523941:26:00	34743297	Kulminski AM
rs71537331-T	3.00E-10	-	0.3713	-	50.439938 z score increase	-	CEP170	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	4054249:00:00	34743297	Kulminski AM
rs11222416-T	4.00E-09	-	0.416	-	44.91861 z score increase	-	RN7SL167P,SNX19	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2183090:15:00	34743297	Kulminski AM
rs10772644-C	6.00E-07	-	0.8713	-	34.3367 z score increase	-	EMP1,LINC01559	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	221090:03:00	34743297	Kulminski AM
rs7964899-A	2.00E-10	-	0.4571	-	51.70866 z score increase	-	ATF7IP	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	240725:42:00	34743297	Kulminski AM
rs2456973-A	2.00E-11	-	0.6791	-	56.384483 z score increase	-	IKZF4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	933731:04:00	34743297	Kulminski AM
rs55742290-T	1.00E-13	-	0.7071	-	66.47163 z score increase	-	ABCB9,ARL6IP4	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2049704:44:00	34743297	Kulminski AM
rs1727302-A	7.00E-16	-	0.7295	-	77.256454 z score increase	-	PITPNM2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2052485:03:00	34743297	Kulminski AM
rs1969355-A	6.00E-16	-	0.7313	-	77.407295 z score increase	-	CDK2AP1,MTRFR	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2054303:54:00	34743297	Kulminski AM
rs6576-T	6.00E-12	-	0.7463	-	58.579216 z score increase	-	KMT5A	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	2056818:27:00	34743297	Kulminski AM
rs9509558-T	4.00E-06	-	0.3993	-	30.228193 z score increase	-	SNORD27,IPPKP1	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	352063:58:00	34743297	Kulminski AM
rs12969294-A	2.00E-10	-	0.3787	-	51.185696 z score increase	-	CELF4,MIR4318	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	626787:19:00	34743297	Kulminski AM
rs4986228-A	2.00E-07	-	0.6567	-	36.33217 z score increase	-	KATNAL2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	784499:28:00	34743297	Kulminski AM
rs12962421-A	3.00E-07	-	0.5373	-	36.2017 z score increase	-	MIR4527HG,SKOR2	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	787703:27:00	34743297	Kulminski AM
rs62100767-A	2.00E-08	-	0.6007	-	41.198208 z score increase	-	DCC	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	886879:09:00	34743297	Kulminski AM
rs4147929-A	3.00E-08	-	0.1959	-	40.68226 z score increase	-	ABCA7	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	17743:04:00	34743297	Kulminski AM
rs1382358-T	1.00E-07	-	0.90672	-	37.425163 z score increase	-	NFIX	Alzheimer's disease or educational attainment (pleiotropy)	Alzheimer disease,educational attainment	-	GCST90095190	217695:50:00	34743297	Kulminski AM
